UserID,CourseID,CourseCategory,CourseType,CourseLevel,CourseRating,PeerPopularity,RecommendationScore
U0001,C063,Finance & Accounting,Certification,Beginner,4.2,35.0,0.7887
U0001,C042,Digital Marketing,Certification,Advanced,5.0,33.0,0.7231
U0001,C029,Data Science,Certification,Intermediate,4.4,39.0,0.68
U0001,C080,Finance & Accounting,Certification,Beginner,3.8,29.0,0.6318
U0001,C038,Digital Marketing,Certification,Beginner,4.5,33.0,0.6231
U0002,C062,Data Science,Paid,Advanced,4.2,46.0,0.715
U0002,C066,Data Science,Paid,Advanced,4.8,39.0,0.71
U0002,C017,Data Science,Paid,Intermediate,5.0,36.0,0.6964
U0002,C021,Business Analytics,Paid,Intermediate,4.7,50.0,0.6864
U0002,C071,Data Science,Paid,Advanced,4.1,45.0,0.6771
U0003,C072,Mobile Development,Certification,Beginner,4.2,28.0,0.64
U0003,C051,Mobile Development,Paid,Intermediate,4.1,27.0,0.5922
U0003,C075,Business Analytics,Certification,Intermediate,4.7,15.0,0.5789
U0003,C005,Finance & Accounting,Certification,Beginner,4.7,22.0,0.5733
U0003,C030,Finance & Accounting,Paid,Beginner,4.4,24.0,0.5689
U0004,C005,Finance & Accounting,Certification,Beginner,4.7,32.0,0.8503
U0004,C075,Business Analytics,Certification,Intermediate,4.7,39.0,0.74
U0004,C042,Digital Marketing,Certification,Advanced,5.0,33.0,0.7231
U0004,C035,Cybersecurity,Certification,Intermediate,4.7,33.0,0.6631
U0004,C038,Digital Marketing,Certification,Beginner,4.5,33.0,0.6231
U0005,C042,Digital Marketing,Certification,Advanced,5.0,42.0,0.8269
U0005,C077,Digital Marketing,Paid,Beginner,4.6,41.0,0.7277
U0005,C021,Business Analytics,Paid,Intermediate,4.7,50.0,0.7208
U0005,C050,Digital Marketing,Paid,Intermediate,4.6,40.0,0.7085
U0005,C035,Cybersecurity,Certification,Intermediate,4.7,45.0,0.6246
U0006,C005,Finance & Accounting,Certification,Beginner,4.7,22.0,0.7733
U0006,C049,Finance & Accounting,Paid,Advanced,3.9,23.0,0.6411
U0006,C072,Mobile Development,Certification,Beginner,4.2,28.0,0.64
U0006,C051,Mobile Development,Paid,Intermediate,4.1,27.0,0.5922
U0006,C020,Cloud Computing,Paid,Intermediate,4.8,21.0,0.5656
U0007,C075,Business Analytics,Certification,Intermediate,4.7,39.0,0.74
U0007,C029,Data Science,Certification,Intermediate,4.4,39.0,0.68
U0007,C035,Cybersecurity,Certification,Intermediate,4.7,33.0,0.6631
U0007,C059,Cloud Computing,Certification,Beginner,4.6,34.0,0.6559
U0007,C005,Finance & Accounting,Certification,Beginner,4.7,32.0,0.6503
U0008,C021,Business Analytics,Paid,Intermediate,4.7,50.0,0.6864
U0008,C071,Data Science,Paid,Advanced,4.1,45.0,0.6771
U0008,C042,Digital Marketing,Certification,Advanced,5.0,42.0,0.6036
U0008,C036,Data Science,Paid,Beginner,3.8,44.0,0.5993
U0008,C002,Data Science,Paid,Advanced,4.3,38.0,0.5921
U0009,C005,Finance & Accounting,Certification,Beginner,4.7,32.0,0.8503
U0009,C042,Digital Marketing,Certification,Advanced,5.0,33.0,0.7231
U0009,C029,Data Science,Certification,Intermediate,4.4,39.0,0.68
U0009,C035,Cybersecurity,Certification,Intermediate,4.7,33.0,0.6631
U0009,C059,Cloud Computing,Certification,Beginner,4.6,34.0,0.6559
U0010,C072,Mobile Development,Certification,Beginner,4.2,28.0,0.64
U0010,C051,Mobile Development,Paid,Intermediate,4.1,27.0,0.5922
